wid,practice,presentation_times,first_seen,first_word,second_word,response_type,choice,choice_rt,typing_rt,word,response,response_rt
we5637cb,True,"[2365.0800000177696, 23924.775000021327, 725.8450000081211, 679.6399999875575, 2379.4350000098348]",left,parrot,ozone,timeout,,,,,,
we5637cb,False,"[1792.8149999934249, 6042.004999995697]",left,magazine,consumer,correct,right,7834.819999989122,8950.330000021495,consumer,consumer,10054.20499999309
we5637cb,False,"[763.3050000295043, 1086.7899999720976, 1283.9500000118278]",left,traitor,daisy,correct,left,3134.0450000134297,3924.720000009984,traitor,traitor,5057.450000022072
we5637cb,False,"[658.3100000279956, 673.1999999610707, 1125.4300000146031]",left,horse,vagrant,other,left,2456.9400000036694,3283.675000013318,horse,hose,4278.879999998026
we5637cb,False,"[616.4399999543093, 711.7250000010245, 972.9100000113249]",left,tractor,donor,correct,left,2301.0749999666587,3038.669999979902,tractor,tractor,4579.74999997532
we5637cb,False,"[716.9700000085868, 416.4549999986775, 1344.7499999892898]",left,goddess,ear,correct,left,2478.174999996554,3611.674999992829,goddess,goddess,4737.024999980349
we5637cb,False,"[628.6349999718368, 1919.190000044182]",left,stable,pitchfork,correct,right,2547.8250000160187,3100.129999977071,pitchfork,pitchpork,5949.320000014268
we5637cb,False,"[555.5699999677017, 576.8900000257418, 638.2650000159629, 508.5249999538064, 1015.2799999923445]",left,eagle,tart,correct,left,3294.5299999555573,3650.5250000045635,eagle,eagle,4522.620000003371
we5637cb,False,"[597.0450000022538, 641.8449999764562, 2240.594999981113]",left,frog,rouge,correct,left,3479.4849999598227,4120.444999949541,frog,frog,4575.039999966975
we5637cb,False,"[629.1700000292622, 3725.9499999927357, 2899.3749999790452, 2589.0699999872595, 4186.4750000531785, 991.7499999864958]",left,department,seagull,timeout,,,,,,
we5637cb,False,"[585.5749999755062, 1377.1450000349432, 1531.029999954626]",left,pillow,roost,correct,left,3493.7499999650754,4013.619999983348,pillow,pillow,5535.559999989346
we5637cb,False,"[1168.4150000219233, 854.2799999704584, 207.95499999076128, 848.6550000379793]",left,dandelion,major,correct,right,3079.3050000211224,3423.045000003185,major,major,4119.239999970887
we5637cb,False,"[653.3550000167452, 1423.7950000097044, 303.64499997813255, 838.7499999953434]",left,elbow,application,correct,right,3219.5449999999255,3547.840000013821,application,application,5713.954999984708
we5637cb,False,"[579.154999984894, 1765.0049999938346]",left,keeper,pizza,correct,right,2344.1599999787286,3018.4599999920465,pizza,pizza,3735.434999980498
we5637cb,False,"[540.854999970179, 792.8900000406429, 229.9199999542907, 1067.7450000075623]",left,atom,apple,correct,right,2631.409999972675,2931.1199999647215,apple,apple,3696.185000007972
we5637cb,False,"[629.7649999614805, 1502.5950000272132]",left,tulip,society,correct,right,2132.3599999886937,2853.115000005346,society,society,4116.500000003725
we5637cb,False,"[689.1900000046007, 614.5499999984168, 264.1650000005029]",left,finger,stranger,correct,left,1567.9050000035204,2331.01500000339,finger,finger,3558.019999996759
we5637cb,False,"[601.5949999564327, 536.9900000514463, 191.32499996339902]",left,bed,mister,correct,left,1329.909999971278,2080.7349999668077,bed,bed,2807.1599999675527
we5637cb,False,"[683.5100000025705, 1845.2699999907054]",left,saxophone,patient,correct,right,2528.779999993276,2821.730000025127,patient,patient,3678.7849999964237
we5637cb,False,"[686.3149999990128, 4453.540000016801, 926.1100000003353]",left,transplant,flower,correct,left,6065.965000016149,6709.00500001153,transplant,transplant,8510.524999990594
wc38ad93,True,[3663.830000004964],left,department,pizza,correct,left,3663.830000004964,3837.165000004461,department,department,7097.5800000014715
wc38ad93,False,[3140.639999997802],left,suburb,baby,correct,left,3140.639999997802,3609.29000000027,suburb,suburb,6033.3650000030175
wc38ad93,False,"[1374.6549999995623, 2711.880000002682]",right,antelope,agent,correct,left,4086.5350000022445,4402.929999996559,agent,agent,5021.09499999648
wc38ad93,False,[2374.0550000001676],right,editorial,cauliflower,correct,right,2374.0550000001676,2939.5000000003492,editorial,editorial,4247.324999996577
wc38ad93,False,[2459.9200000010896],left,tread,apple,correct,left,2459.9200000010896,2816.2200000006706,tread,tread,3735.5699999970384
wc38ad93,False,[1931.534999996191],left,hamburger,consumer,correct,left,1931.534999996191,2427.6049999971874,hamburger,hamburger,4106.90500000061
wc38ad93,False,[2309.235000000568],right,penguin,scenery,correct,right,2309.235000000568,2908.5149999954738,penguin,penguin,3863.8749999953434
wc38ad93,False,[1786.435000001802],left,villain,walrus,correct,left,1786.435000001802,2336.250000000233,villain,villain,3172.2700000028126
wc38ad93,False,[1365.2399999990594],left,saxophone,personnel,correct,left,1365.2399999990594,1856.9499999938998,saxophone,saxophone,3220.2649999961723
wc38ad93,False,[1410.7550000044284],left,winner,handkerchief,correct,left,1410.7550000044284,1884.3350000025239,winner,winner,2493.58000000217
wc38ad93,False,[2005.604999998468],left,goat,ghost,correct,left,2005.604999998468,2777.1149999971967,goat,goat,3507.894999995129
wc38ad93,False,"[1134.0249999993248, 1759.4900000040652]",left,chimney,society,correct,right,2893.51500000339,3116.840000002412,society,society,4163.534999999683
wc38ad93,False,[1339.284999994561],left,volunteer,pillow,correct,left,1339.284999994561,2411.1349999947706,volunteer,volunteer,3615.959999995539
wc38ad93,False,[1765.9850000054576],left,roost,horse,correct,left,1765.9850000054576,2918.4150000001537,roost,roost,3375.8500000040513
wc38ad93,False,"[1282.3900000002468, 1481.9900000002235]",left,territory,quill,correct,right,2764.3800000004703,3119.715000000666,quill,quill,4592.335000001127
wc38ad93,False,"[1393.7699999951292, 1076.0399999999208, 890.1800000021467, 700.9200000029523]",left,patient,magazine,correct,right,4060.910000000149,4460.289999995381,magazine,magazine,5925.344999996014
wc38ad93,False,"[1181.409999997355, 851.524999998277, 975.5600000062259]",left,vagrant,eagle,correct,left,3008.495000001858,3549.0500000014435,vagrant,vagrant,4673.405000001425
wc38ad93,False,[1431.4400000002934],left,crook,dandelion,correct,left,1431.4400000002934,1926.6200000055833,crook,crook,2600.365000005695
wc38ad93,False,[1990.7500000045402],right,captive,cookie,correct,right,1990.7500000045402,2420.980000002659,captive,captive,3180.769999998971
wc38ad93,False,[1201.6250000016298],left,goddess,elephant,correct,left,1201.6250000016298,1694.1099999968428,goddess,goddess,2587.7350000010338
wa04a5e4,True,"[1388.5249999985099, 278.3999999992084, 841.9800000011455, 2076.6350000011735]",left,donor,bed,correct,right,4585.540000000037,5719.239999998594,bed,bed,6112.694999999832
wa04a5e4,False,[2348.484999998589],left,strawberry,empire,correct,left,2348.484999998589,2999.5399999970105,strawberry,strawberry,5897.399999997928
wa04a5e4,False,"[768.049999998766, 490.445000003092, 1108.684999999241]",left,frog,enemy,correct,left,2367.180000001099,2875.7900000019,frog,frog,3703.024999998859
wa04a5e4,False,"[653.96999999939, 1927.224999999511]",left,flower,grizzly,correct,right,2581.194999998901,3262.624999999418,grizzly,grizzly,5876.229999998002
wa04a5e4,False,[2198.180000003078],left,villain,walrus,correct,left,2198.180000003078,2638.055000003078,villain,villain,3877.0550000007497
wa04a5e4,False,"[602.9899999994086, 1036.3749999996508]",left,magazine,goddess,correct,right,1639.3649999990594,2491.90499999898,goddess,goddess,3576.3950000000186
wa04a5e4,False,[1830.2949999996927],left,antelope,captive,correct,left,1830.2949999996927,2234.5099999983795,antelope,antelope,3493.3549999985844
wa04a5e4,False,"[1113.2649999998976, 1118.4199999988778, 5444.5599999999395]",left,personnel,tulip,intrusion,left,7676.244999998715,8063.634999998612,personnel,major,8957.005000000237
wa04a5e4,False,"[608.1400000002468, 2059.6499999992084]",left,tread,daisy,correct,right,2667.789999999455,3145.114999999292,daisy,daisy,4652.49000000034
wa04a5e4,False,"[652.1199999988312, 2141.8350000021746]",left,pitchfork,transplant,correct,right,2793.955000001006,3165.3349999978673,transplant,transplant,4539.219999998808
wa04a5e4,False,"[673.6649999984074, 2436.3699999994133]",left,handkerchief,stable,correct,right,3110.0349999978207,3412.094999999623,stable,stable,4294.395000000717
wa04a5e4,False,[1378.0149999983842],left,hero,octopus,correct,left,1378.0149999983842,2227.1399999989662,hero,hero,2813.6950000007637
wa04a5e4,False,"[1390.0849999991478, 341.6649999998044, 1405.110000003362]",left,eagle,keeper,correct,left,3136.8600000023143,3489.1250000001164,eagle,eagle,4236.955000000307
wa04a5e4,False,"[791.8699999973178, 3368.9699999995064, 1055.7650000009453, 2325.6650000003865]",left,major,finger,intrusion,right,7542.269999998156,8225.57499999681,finger,major,9474.084999997984
wa04a5e4,False,"[569.410000000149, 475.6149999992922, 426.96000000066124, 3392.71500000183]",left,atom,barracuda,correct,right,4864.7000000019325,5624.540000000736,barracuda,barracuda,6906.399999999907
wa04a5e4,False,"[807.730000000447, 2740.5700000018114]",left,critic,pizza,correct,right,3548.3000000022585,3865.3100000011036,pizza,pizza,5012.015000000247
wa04a5e4,False,"[479.1899999981979, 716.6800000013318, 507.67999999888707, 2153.389999999432, 1046.750000001397]",left,cookie,electron,other,left,4903.689999999246,5161.189999998896,cookie,peace,5933.819999998435
wa04a5e4,False,"[551.0149999973364, 322.43000000016764, 1234.5550000027288]",left,elephant,roost,correct,left,2108.000000000233,2460.8100000005215,elephant,elephant,3962.519999997341
wa04a5e4,False,"[620.4650000000838, 342.01000000024214, 1102.275000001071]",left,ozone,pig,correct,left,2064.750000001397,2593.2949999987613,ozone,ozone,3198.3650000002235
wa04a5e4,False,"[439.10999999940395, 350.0849999982165, 1153.9750000010245]",left,tomato,winner,correct,left,1943.169999998645,2467.0699999987846,tomato,tomato,3196.1349999983795
w22a09e3,True,"[686.199999996461, 1206.8750000325963, 654.4899999862537, 1516.9900000328198, 471.6649999609217, 794.9200000148267, 1173.8249999471009, 1143.0600000312552, 419.4399999687448, 2502.1500000730157]",left,walrus,villain,intrusion,left,10569.615000043996,17113.009999971837,walrus,villain,18791.790000046603
w22a09e3,False,[],,,,empty,left,,,vagrant,,
w22a09e3,False,"[3590.6550000654534, 1112.650000024587]",left,fellow,flower,correct,left,4703.30500009004,8285.860000061803,fellow,fellow,9095.800000010058
w22a09e3,False,"[1205.1249999785796, 2035.9700000844896]",left,gravel,hero,correct,right,3241.095000063069,3803.2949999906123,hero,hero,4404.025000054389
w22a09e3,False,"[614.2699999036267, 2151.520000072196]",left,lover,refrigerator,correct,right,2765.789999975823,3103.6299999104813,refrigerator,refrigerator,7304.754999931902
w22a09e3,False,[2067.615000065416],left,consumer,cauliflower,correct,left,2067.615000065416,2411.2650000024587,consumer,consumer,3461.8450000416487
w22a09e3,False,[3679.414999904111],left,traitor,daisy,correct,left,3679.414999904111,4126.189999980852,traitor,traitor,5226.559999980964
w22a09e3,False,[1989.1000000061467],left,elbow,keeper,correct,left,1989.1000000061467,2245.104999979958,elbow,elbow,3709.9450000096112
w22a09e3,False,"[1143.4949999675155, 1665.2549999998882]",left,captive,banana,correct,right,2808.7499999674037,3298.034999985248,banana,banana,4699.054999975488
w22a09e3,False,"[883.9950000401586, 1668.599999975413]",left,magazine,empire,correct,right,2552.5950000155717,2760.4750000173226,empire,empire,4039.015000103973
w22a09e3,False,"[576.2249999679625, 1489.4899999490008, 4007.22999998834, 7627.960000070743]",left,goddess,shoelace,timeout,right,13700.904999976046,13947.809999925084,,,
w22a09e3,False,[2475.3700000001118],left,enemy,cactus,correct,left,2475.3700000001118,2729.605000000447,enemy,enemy,4489.865000010468
w22a09e3,False,[1905.4250000044703],left,quill,agent,correct,left,1905.4250000044703,2212.4100000364706,quill,quill,3096.8550000106916
w22a09e3,False,"[703.125, 2463.4599999990314]",left,well,octopus,correct,right,3166.5849999990314,3450.0099999131635,octopus,octopus,5301.854999968782
w22a09e3,False,"[858.6900000227615, 2278.374999994412]",left,mister,carrot,correct,right,3137.0650000171736,3404.3199999723583,carrot,carrot,4248.954999959096
w22a09e3,False,[2514.6500000264496],left,rebel,house,correct,left,2514.6500000264496,2749.0799999795854,rebel,rebel,3551.5449999365956
w22a09e3,False,"[1590.2599999681115, 1995.0599999865517]",left,saxophone,society,correct,right,3585.319999954663,3865.584999904968,society,society,4895.915000000969
w22a09e3,False,[1670.090000028722],left,bed,critic,correct,left,1670.090000028722,2076.3499999884516,bed,bed,2587.775000021793
w22a09e3,False,[1560.799999977462],left,atom,goat,correct,left,1560.799999977462,1910.2000000420958,atom,atom,2497.635000036098
w22a09e3,False,"[785.535000031814, 2759.2749999603257]",left,pitchfork,follower,correct,right,3544.8099999921396,3830.059999949299,follower,follower,5446.80499995593
wb019050,True,"[1496.0399999981746, 1429.0649999165908, 1717.3050000565127, 2414.669999969192]",left,antelope,keeper,correct,left,7057.07999994047,10289.504999993369,antelope,antelope,18789.424999966286
wb019050,False,"[1057.660000049509, 1899.9399999156594, 934.940000064671]",left,electron,chimney,correct,left,3892.5400000298396,4874.485000036657,electron,electron,7082.664999994449
wb019050,False,"[1040.7500000437722, 612.8549999557436, 1183.0700000282377]",left,grizzly,magazine,correct,left,2836.6750000277534,3785.7500000391155,grizzly,grizzly,5894.88000003621
wb019050,False,"[612.8799999132752, 1705.0100000342354]",left,application,goat,correct,right,2317.8899999475107,3504.784999997355,goat,goat,4172.879999969155
wb019050,False,"[914.699999964796, 4182.035000063479]",left,atom,handkerchief,correct,right,5096.735000028275,5741.745000006631,handkerchief,handkerchief,8319.989999989048
wb019050,False,"[1555.9650000650436, 3179.92000002414, 8812.990000005811, 1468.7999999150634]",left,permit,dandelion,timeout,,,,,,
wb019050,False,"[1481.7449999973178, 419.9050000170246, 1085.1149999070913]",left,seagull,winner,correct,left,2986.7649999214336,3739.8749999701977,seagull,seagull,5311.890000011772
wb019050,False,"[1084.6149999415502, 588.9050000114366, 732.0700000273064]",left,idol,baby,correct,left,2405.589999980293,3396.710000000894,idol,idol,3989.7600000258535
wb019050,False,"[1087.679999996908, 436.0850000521168, 1167.989999987185]",left,tart,neck,correct,left,2691.75500003621,3736.0050000716,tart,tart,4668.98499999661
wb019050,False,"[793.7500000698492, 2499.0499999839813]",left,scenery,elephant,correct,right,3292.8000000538304,4161.8149999994785,elephant,elephant,6061.755000031553
wb019050,False,[1909.639999968931],left,pizza,lover,correct,left,1909.639999968931,2801.6000000061467,pizza,pizza,4217.829999979585
wb019050,False,"[2749.749999959022, 1650.3149999771267]",left,tractor,virus,correct,right,4400.0649999361485,5365.794999990612,virus,virus,6652.73500001058
wb019050,False,"[2336.6900000255555, 2555.2199999801815]",left,volunteer,pillow,correct,right,4891.910000005737,5845.9550000261515,pillow,pillow,7284.910000045784
wb019050,False,"[990.7749999547377, 2034.0200000209734, 461.9999999413267]",left,gravel,rebel,correct,left,3486.794999917038,4482.770000002347,gravel,gravel,5875.894999946468
wb019050,False,"[1270.8000000566244, 1487.8150000004098]",left,cue,walrus,correct,right,2758.615000057034,3879.655000055209,walrus,walrus,5475.6950000301
wb019050,False,"[2382.604999933392, 4820.245000068098]",left,transplant,daisy,correct,right,7202.85000000149,7916.749999974854,daisy,daisy,9143.824999919161
wb019050,False,"[1001.795000047423, 995.8799999440089, 1200.1450000097975]",left,tread,house,correct,left,3197.8200000012293,3813.0349999992177,tread,tread,4908.880000002682
wb019050,False,"[3566.660000011325, 781.0199999948964, 819.0600000089034]",left,quill,stable,correct,left,5166.740000015125,6022.705000010319,quill,quill,7180.764999939129
wb019050,False,"[783.6649999953806, 1857.2149999672547, 4162.985000060871, 830.0599999492988]",left,shoelace,agent,correct,right,7633.924999972805,8048.899999936111,agent,agent,9236.009999993257
wb019050,False,"[1237.7850000048056, 2493.1450000731274, 718.8699999824166]",left,parrot,community,correct,left,4449.80000006035,5103.0449999962,parrot,parrot,6572.830000077374
w071fe6d,True,"[2763, 8148, 501, 572, 1717, 451, 6396]",left,critic,cauliflower,correct,left,20548.0,24686.0,critic,critic,25493.0
w071fe6d,False,[],,,,other,left,,,refrigerator,clicked wrong key and saw two gray ,
w071fe6d,False,[4616],left,ear,cue,correct,left,4616.0,5474.0,ear,ear,6235.0
w071fe6d,False,[1989],left,frog,fellow,correct,left,1989.0,2831.0,frog,frog,3535.0
w071fe6d,False,[5343],left,crook,penguin,correct,left,5343.0,5859.0,crook,crook,6573.0
w071fe6d,False,[3202],left,tiger,empire,correct,left,3202.0,4014.0,tiger,tiger,5541.0
w071fe6d,False,"[4574, 3588]",left,dandelion,volunteer,timeout,left,8162.0,,,,
w071fe6d,False,[2158],right,bed,roost,intrusion,left,2158.0,2857.0,roost,bed,7320.0
w071fe6d,False,"[1893, 1132, 1356, 682]",right,house,community,correct,left,5063.0,7103.0,community,community,9018.0
w071fe6d,False,"[2143, 1389, 1648]",right,carrot,keeper,correct,left,5180.0,6284.0,keeper,keeper,7010.0
w071fe6d,False,"[2200, 1770]",right,society,pitchfork,correct,left,3970.0,4734.0,pitchfork,pitchfork,6296.0
w071fe6d,False,"[1714, 1940]",right,scenery,tractor,correct,left,3654.0,4543.0,tractor,tractor,5525.0
w071fe6d,False,"[1418, 2190]",right,tread,bug,correct,left,3608.0,4189.0,bug,bug,4641.0
w071fe6d,False,"[2216, 1545]",right,major,octopus,correct,left,3761.0,4363.0,octopus,octopus,5504.0
w071fe6d,False,"[936, 739, 1045]",right,ghost,daisy,correct,left,2720.0,4167.0,daisy,daisy,4996.0
w071fe6d,False,[1763],right,goat,stranger,other,left,1763.0,3654.0,stranger,not sure,5500.0
w071fe6d,False,"[1451, 1563]",right,gravel,personnel,correct,left,3014.0,3657.0,personnel,personnel,4901.0
w071fe6d,False,"[1214, 1374, 492, 853]",right,tomato,suburb,correct,left,3933.0,6169.0,suburb,suburb,7098.0
w071fe6d,False,"[1590, 898]",right,patient,barracuda,correct,left,2488.0,3141.0,barracuda,baracuda,5039.0
w071fe6d,False,"[1776, 1295]",right,sand,donor,correct,left,3071.0,6185.0,donor,donor,7023.0
w3827f4d,True,"[4159.4000000003725, 4143.9000000003725, 1121.0]",left,elbow,agent,correct,left,9424.300000000745,10367.800000000745,elbow,elbow,15920.599999999627
w3827f4d,False,[3665],left,donor,banana,correct,left,3665.0,4746.0,donor,donor,5923.0999999996275
w3827f4d,False,[3450.5],right,transplant,eagle,correct,right,3450.5,5190.300000000745,transplant,transplant,7750.5
w3827f4d,False,[2292.5],left,scenery,ear,correct,left,2292.5,3180.5999999996275,scenery,scenery,5169.9000000003725
w3827f4d,False,[2706.800000000745],left,pizza,follower,correct,left,2706.800000000745,3068.4000000003725,pizza,pizza,4122.5
w3827f4d,False,[],,,,empty,left,,,electron,,
w3827f4d,False,"[1493.300000000745, 3282.5]",left,fellow,antelope,correct,right,4775.800000000745,5301.200000001118,antelope,antelope,7240.5999999996275
w3827f4d,False,[3032.4000000003725],right,traitor,elephant,correct,right,3032.4000000003725,3753.800000000745,traitor,traitor,5951.700000001118
w3827f4d,False,"[1126.4000000003725, 1721.9000000003725]",left,territory,parrot,correct,right,2848.300000000745,3418.800000000745,parrot,parrot,5410.4000000003725
w3827f4d,False,"[1432.800000000745, 385.80000000074506, 1174.0999999996275]",left,permit,tractor,correct,left,2992.7000000011176,3516.10000000149,permit,permit,5033.0
w3827f4d,False,[1547.9000000003725],left,stranger,walrus,correct,left,1547.9000000003725,2105.2000000011176,stranger,stranger,3729.60000000149
w3827f4d,False,[1954.9000000003725],left,hero,handkerchief,correct,left,1954.9000000003725,2876.699999999255,hero,hero,3695.199999999255
w3827f4d,False,"[2736.699999999255, 2537.5999999996275]",left,editorial,quill,correct,right,5274.299999998882,5694.299999998882,quill,quil,7084.9000000003725
w3827f4d,False,[1463.0],left,enemy,pig,correct,left,1463.0,2955.0,enemy,enemy,4567.0
w3827f4d,False,"[1000.8000000007451, 386.90000000037253, 1149.5999999996275, 589.4000000003725]",left,penguin,rebel,correct,right,3126.7000000011176,3797.5999999996275,rebel,rebel,4779.0999999996275
w3827f4d,False,"[1651.0, 2369.2000000011176]",left,cauliflower,rouge,other,right,4020.2000000011176,5410.60000000149,rouge,rogue,6541.4000000003725
w3827f4d,False,[1813.7999999988824],left,seagull,crook,correct,left,1813.7999999988824,2762.699999999255,seagull,seagull,4745.0999999996275
