wid,pretest_type,critical_type,overlay,train_presentation_duration,recall_time,afc_time,afc_bonus_time,n_pair,n_repeat,n_distractor,bonus_rate_critical,bonus_rate_afc,bonus_rate_pretest,bonus_rate_distractor,bonus_rate_speed,afc_scores,completed,bonus,version,math_correct
we7df13c,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'application': 7.979852078046839, 'barracuda': 8.167822193140877, 'grizzly': 7.896163804091564, 'house': 8.062570780977548, 'walrus': 7.6902970638174, 'pig': 7.495709550070664, 'hero': 7.710976404168059, 'cue': 8.201298417662176, 'gravel': 7.835022011692861, 'electron': 7.790268548387597, 'tomato': 7.66413974411017, 'bug': 7.499287472681242, 'daisy': 7.564125793579707, 'critic': 7.731902472588892, 'bed': 7.597803496204555, 'community': 7.923976149068001, 'baby': 7.538486000919414, 'idol': 7.4116797043327125, 'roost': 7.887190419849538, 'stable': 7.599106694081339}",True,0.93,v5.0,10.0
wa986f14,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'goat': 7.973054793368892, 'cactus': 8.164531453821711, 'critic': 8.384158215544037, 'atom': 7.608578682217588, 'octopus': 7.964702837265882, 'finger': 7.564121762899998, 'virus': 7.843574291251443, 'application': 7.712660554091318, 'stable': 7.821253664040299, 'cookie': 8.06761967943028, 'saxophone': 7.264811532555128, 'transplant': 7.965647831712993, 'donor': 7.596245179318752, 'scenery': 7.6473398501015035, 'patient': 7.543889715509182, 'tractor': 7.569575006979441, 'magazine': 7.847988670313199, 'well': 7.409249084032091, 'parrot': 7.489358023795827, 'quill': 7.670989174708449}",True,0.8,v5.0,8.0
wee31ffa,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'stairs': 8.147678628231354, 'house': 7.781673208506237, 'pizza': 7.775209967559518, 'chimney': 7.976164860096815, 'horse': 7.931173803949051, 'quill': 7.720619809684908, 'crook': 7.621377876412301, 'saxophone': 8.364338986710388, 'roost': 7.555567797233706, 'rouge': 8.038688001142882, 'vagrant': 7.84870980030632, 'tart': 7.559667930781935, 'idol': 8.037340299050937, 'personnel': 8.176790895376438, 'shoelace': 8.378585025615429, 'flower': 7.567160099981442, 'suburb': 7.769120038302071, 'empire': 7.962734730922162, 'elbow': 7.5741938614083795, 'cue': 7.577919184067649}",True,0.93,v5.0,10.0
w610c219,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'walrus': 8.249287864663259, 'cookie': 8.067791751190105, 'consumer': 7.849392120693164, 'critic': None, 'goddess': 7.825014474006568, 'rebel': 8.010735702842672, 'fellow': 8.190611643199247, 'department': 8.68151972956822, 'seagull': 7.828018723038887, 'elephant': 7.914656484370099, 'captive': 7.906586971734623, 'goat': 8.88124795599672, 'agent': 8.076797253876977, 'house': 7.730479538672275, 'octopus': 8.39967608300271, 'cauliflower': 8.48874452060483, 'daisy': 8.522527328334013, 'hero': 7.992747113850522, 'ear': 7.49138628545375, 'atom': 8.404891866450214}",True,0.96,v5.0,9.0
w2ab49bf,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'pizza': 7.850905286846995, 'scapegoat': 7.883073255167205, 'atom': 8.106952764435304, 'walrus': 7.827402454288646, 'patient': 8.373016269268838, 'banana': 7.7214722948167305, 'enemy': 7.789527239806986, 'rebel': 8.339622937266606, 'captive': 8.198649050786278, 'stairs': 8.123621548193947, 'ear': 7.619783330881037, 'volunteer': 8.255289245156002, 'permit': 7.829729709683872, 'house': 7.607116547640146, 'shoelace': 8.035837751110527, 'handkerchief': 8.523789323906236, 'suburb': 7.867173334324178, 'pitchfork': 8.101784639488681, 'crook': 7.8356298291557716, 'antelope': 7.974478256232562}",True,0.78,v5.0,7.0
w913960d,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'roost': 9.255685906600617, 'tread': None, 'flower': 8.696455459458077, 'lover': 8.50515456159975, 'penguin': 8.051645832563295, 'atom': 8.35872442998779, 'cauliflower': 8.878560892461142, 'gravel': 8.237227244338674, 'consumer': 8.595218545755623, 'jeans': 8.609704845583869, 'pig': None, 'winner': 8.800003553371598, 'tomato': 9.10585854108326, 'transplant': 8.924074235294938, 'stranger': 8.806340095248817, 'bug': 8.05478147400654, 'apple': 8.534238412499795, 'pillow': 8.406055974833953, 'stable': 8.78064138793917, 'empire': 9.207037256737467}",True,0.63,v5.0,9.0
w0d244c0,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'cue': 7.864020627453268, 'bug': None, 'follower': 8.418014612142917, 'suburb': 8.310718596993752, 'rouge': 8.544485237404322, 'finger': None, 'bed': None, 'penguin': None, 'application': None, 'frog': 8.28573287806189, 'carrot': None, 'scenery': None, 'patient': None, 'house': 8.125306016650656, 'electron': 8.310843649903566, 'quill': 8.581603293366166, 'fellow': 8.04884724610188, 'well': None, 'pitchfork': None, 'antelope': 8.244648548101324}",True,0.82,v5.0,4.0
w48a91d2,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'roost': 9.318150661078056, 'vagrant': 8.7379423919691, 'volunteer': 8.847705584891093, 'cauliflower': 8.8524627116656, 'critic': 9.366709871616393, 'permit': 8.120386435830078, 'crook': 8.037346186179546, 'tulip': 8.51185913465619, 'hamburger': 8.330364434045961, 'tiger': 7.84505948599451, 'antelope': 8.935746872045302, 'chimney': 8.464575241665907, 'walrus': 9.41437731989168, 'quill': 8.477255859996589, 'suburb': 8.78287394001312, 'pitchfork': None, 'major': 8.100113849831517, 'tart': 8.737933637925208, 'goddess': 8.310242541524573, 'baby': 8.320863209519024}",True,0.8,v5.0,9.0
w680cf84,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'chimney': None, 'critic': None, 'follower': None, 'barracuda': None, 'crook': None, 'parrot': None, 'magazine': None, 'keeper': None, 'carrot': None, 'idol': None, 'enemy': None, 'consumer': None, 'banana': None, 'cue': None, 'handkerchief': None, 'sand': None, 'hamburger': None, 'daisy': None, 'donor': None, 'agent': None}",True,0.57,v5.0,5.0
w41e7597,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'ozone': 9.455416629783938, 'carrot': 9.155099481528273, 'goddess': 8.900043006702044, 'application': None, 'goat': 8.667578200222524, 'idol': None, 'roost': 8.5362158967462, 'jeans': None, 'fellow': 9.12165480138575, 'saxophone': None, 'apple': 9.711179175189736, 'penguin': None, 'handkerchief': None, 'agent': 8.750587754405098, 'dandelion': None, 'editorial': 8.99910182896427, 'rebel': 8.335544592740549, 'cookie': 8.35523569260637, 'tread': 8.97794724950347, 'pig': 8.60880082686409}",True,0.65,v5.0,8.0
w7d56fbf,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'personnel': 8.640874818027546, 'gravel': 8.362078229003174, 'critic': None, 'ozone': 8.490278048663304, 'atom': 8.157433107150988, 'finger': 8.123954242486702, 'traitor': 8.912862596479554, 'pig': 8.176317647264307, 'hamburger': 8.409654257937829, 'flower': 8.328830747957454, 'patient': 8.403610387544035, 'villain': 8.205074196386304, 'application': 8.54879034956492, 'donor': 8.228803987626668, 'shoelace': 8.663344243184818, 'pillow': 8.396580003817776, 'banana': 8.510788735338286, 'major': 8.10465613024929, 'saxophone': 8.698288449064918, 'cactus': 8.091628820095297}",True,0.87,v5.0,10.0
wfe64a69,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'goat': 8.519664364568087, 'territory': 8.392957224637621, 'cookie': 8.263853697079524, 'tart': 8.477096637936876, 'pig': 7.99007199660939, 'ghost': 7.856303174184266, 'keeper': 8.04004136844919, 'scenery': 8.104646322131673, 'cauliflower': 8.390644187301481, 'gravel': 8.45891834172656, 'consumer': 8.225982391359155, 'winner': 7.940187891732102, 'dandelion': 8.285035757823126, 'finger': 8.44510528683641, 'pizza': 7.751184264265206, 'barracuda': 8.282716909975248, 'villain': 8.219638660258525, 'stairs': 7.848335315584674, 'roost': 9.062897400275054, 'society': 8.437448352440258}",True,0.89,v5.0,9.0
w8157ec1,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'patient': 8.974373766896022, 'banana': None, 'chimney': 8.553168368506885, 'crook': 8.173913347157187, 'stranger': None, 'jeans': 7.961614094709243, 'vagrant': None, 'permit': None, 'ozone': None, 'rebel': None, 'elephant': 8.86631444507759, 'baby': 7.863789588042312, 'fellow': 8.230621797798785, 'cactus': 8.155822876625367, 'stairs': 7.493624914412074, 'pillow': 7.798949127123428, 'tomato': 8.06627581473789, 'house': 7.948898242072148, 'editorial': 7.999206962997502, 'enemy': 7.527883828437489}",True,0.47,v5.0,5.0
wc07d1b9,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'consumer': 8.15805642096033, 'rebel': 7.686513502904049, 'carrot': 7.664616111287636, 'stable': 7.75173913039245, 'editorial': 8.240427544439745, 'gravel': 7.534650950191634, 'goddess': 7.787455497733769, 'stranger': None, 'jeans': 7.643843174232764, 'enemy': 7.694862664376511, 'octopus': 7.738336317000008, 'daisy': 7.969359738831592, 'scapegoat': 7.844695705050616, 'sand': 7.339261277257417, 'ear': 7.210381686808887, 'elbow': 7.548461405267229, 'keeper': 8.137700028043904, 'strawberry': 8.096865956793582, 'parrot': 8.145048798431791, 'grizzly': 8.053903470559222}",True,0.96,v5.0,10.0
wb7af131,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'flower': 8.368713380777079, 'ear': 7.778999662758167, 'goat': 8.007046018205486, 'ghost': 7.895629113741426, 'stairs': 7.785562924675684, 'well': 8.407923521025664, 'crook': 7.885721343754633, 'rouge': 7.8650470799449606, 'tractor': 8.42040715541392, 'daisy': 8.263290129552976, 'hamburger': 8.097723470122089, 'cactus': 7.964125291539542, 'keeper': 7.865467155776337, 'atom': 7.745175818143525, 'stable': 9.001872717534825, 'parrot': 8.161390022019582, 'roost': 8.72792065146483, 'penguin': 7.865561040827956, 'enemy': 7.726385313863914, 'traitor': 8.228050929551385}",True,0.79,v5.0,6.0
w3478fa7,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'consumer': 8.435518021761029, 'sand': 7.746667653197659, 'elephant': 8.150268865665245, 'fellow': 7.929706221192806, 'quill': 8.247268837744576, 'seagull': 8.146131159688354, 'winner': 7.8384810889085275, 'tiger': None, 'tart': 7.688024440678279, 'major': 8.098910740302683, 'jeans': 7.715460161110563, 'shoelace': 8.630581851619125, 'octopus': 8.511030413314867, 'mister': 7.955866814190081, 'community': 8.203611806499543, 'lover': 7.798158127412964, 'daisy': 8.214075887332251, 'penguin': 7.972090232328475, 'critic': 7.918143285621203, 'keeper': 8.196561085496183}",True,0.92,v5.0,5.0
wede24ff,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'winner': 8.53533150878531, 'mister': 7.754584916418886, 'tiger': 7.6067775741820824, 'suburb': 8.157069061136502, 'cactus': 8.378649398918055, 'walrus': 8.24043151572778, 'well': 7.7355338467118715, 'parrot': 8.32910226058245, 'critic': 9.224593142331704, 'tulip': 8.24604932391953, 'ghost': 7.733939404999192, 'goddess': 8.259718788563926, 'goat': 8.00535902158459, 'handkerchief': 8.941115661477232, 'hamburger': 7.874433097713076, 'quill': 7.581111041901313, 'flower': 8.223962888367772, 'cue': 8.112736850729922, 'donor': 8.064758098904676, 'follower': 8.046181273311197}",True,0.84,v5.0,8.0
w5ab5844,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'vagrant': 8.426915969039616, 'cauliflower': 8.718448297158432, 'dandelion': 8.925021559911237, 'scapegoat': 8.442826939444982, 'society': 8.175115816542736, 'handkerchief': 8.650605270961156, 'antelope': 8.392397416875715, 'tiger': 7.983219510482647, 'keeper': 8.11292174867461, 'villain': 8.323208755694049, 'stable': 8.289125945711438, 'cookie': 7.970510402718325, 'jeans': 7.802163398340919, 'tomato': 8.286733744027293, 'pig': 7.8345385844621775, 'quill': 7.967382931558231, 'roost': 8.555334169919865, 'application': 8.376160144813896, 'critic': 8.253036108192646, 'department': 8.128943146173627}",True,0.62,v5.0,9.0
w4cdfef5,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'stranger': 8.419432506520714, 'society': 8.218009314639351, 'rebel': 8.393129030878884, 'vagrant': 8.175151552422308, 'seagull': 8.235818811345702, 'hero': 7.836303083968239, 'sand': 8.427453021511853, 'apple': 7.962475811025354, 'banana': 8.1575331722539, 'chimney': 7.980055645116837, 'winner': 8.279784565665707, 'application': 8.752771282968817, 'permit': 8.041317219165082, 'bug': 7.903097442882842, 'rouge': 8.218362188333122, 'cauliflower': 8.574203937001483, 'goat': 8.152185915946722, 'pillow': 8.328039438306723, 'patient': 8.207531679502116, 'walrus': 8.198177457737172}",True,0.93,v5.0,10.0
weaab1b6,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'antelope': 8.256147218831906, 'grizzly': 7.987333725184229, 'frog': 8.334598447918331, 'mister': 7.7591715143195295, 'idol': 7.921727597843287, 'neck': 7.629977047433299, 'gravel': 7.6118616019659235, 'handkerchief': 7.9798698084630955, 'patient': 7.69627104794846, 'ear': 8.04400695248216, 'bug': 8.09464724707395, 'editorial': 8.336562210627047, 'ghost': 7.589782667824274, 'pillow': 8.180448397391206, 'goat': 7.73698596433212, 'personnel': 8.676244477798372, 'ozone': 7.77119364433619, 'chimney': 8.421309688287135, 'follower': 7.873532451521325, 'permit': 8.287412322763545}",True,0.95,v5.0,10.0
w02080d6,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'eagle': 8.899653987843354, 'stranger': 8.516093091233017, 'community': 9.037742553502552, 'permit': 8.542217205672328, 'shoelace': 8.411854066563587, 'tulip': 8.160512909063522, 'pitchfork': 8.63919910345334, 'tart': 8.024576208320264, 'suburb': 8.812120441024762, 'parrot': 9.210313967635093, 'villain': 8.245622166415899, 'cactus': 8.34732743637597, 'jeans': 8.523776730385693, 'scapegoat': 8.540199461601349, 'barracuda': 8.88506551689937, 'well': 7.943129172798802, 'atom': 8.478727620895599, 'carrot': 8.222310155423125, 'editorial': 8.12985249083079, 'banana': 8.017475705372165}",True,0.79,v5.0,6.0
w54864b8,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'quill': 8.249185888842726, 'ozone': 7.728820070449674, 'tiger': 7.939078119352504, 'ear': 7.827106805160253, 'grizzly': 8.303651826285515, 'cauliflower': 8.02727083784392, 'tart': 7.660887145207248, 'keeper': 7.761040456497938, 'villain': 8.097529044317378, 'volunteer': 8.083952122981726, 'barracuda': 8.470773261637797, 'penguin': 8.107645752420742, 'pizza': 7.710359165576857, 'saxophone': 8.141641120461209, 'mister': 7.712928968341014, 'idol': None, 'crook': 7.943649453847173, 'cactus': 7.810089659340004, 'consumer': None, 'neck': None}",True,0.95,v5.0,7.0
wc3a8220,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'villain': 8.167333119172666, 'virus': 7.7596298110057695, 'lover': 7.866173600140601, 'scenery': 7.957842066701858, 'apple': 7.684903438400586, 'empire': None, 'patient': 8.69934077990795, 'pitchfork': 8.166448262836745, 'antelope': 7.952224721279603, 'captive': 8.396048200113698, 'frog': 8.92413834409537, 'seagull': 8.413067998653322, 'cauliflower': 8.28540088363487, 'personnel': 8.827142176064113, 'pig': 8.231840159456775, 'pizza': 8.355286419698935, 'gravel': 8.017753484313863, 'permit': 9.418335384390035, 'bed': 7.673527845143721, 'major': 8.453652705205371}",True,0.85,v5.0,9.0
w6361cf7,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'daisy': 8.476696035471955, 'roost': 9.07997274572835, 'winner': 9.442616864309906, 'agent': 8.148203364577101, 'well': 8.24897242769485, 'villain': 8.571227791076979, 'parrot': 8.883131707948175, 'frog': 8.402868485612535, 'bed': 8.482752533118012, 'rouge': 8.70314823689588, 'community': 8.343011544642719, 'magazine': 8.519368074608506, 'tulip': 9.080939732785673, 'dandelion': 8.952396495274265, 'enemy': 8.740413720236765, 'cactus': None, 'pitchfork': 8.18390920881977, 'strawberry': 8.697081030803936, 'editorial': 8.31518363635918, 'virus': 8.556007068725753}",True,0.31,v5.0,4.0
wff169b2,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'cauliflower': 8.655647681055322, 'dandelion': 8.200428016428416, 'apple': 7.872471147589487, 'enemy': 7.869922981445384, 'eagle': 7.974234231761343, 'pizza': 8.146250595677982, 'ghost': 7.975732524198155, 'vagrant': 8.164029124695876, 'captive': 8.227988683990887, 'tart': 8.242826842876834, 'baby': 7.94843987664282, 'banana': 7.969333153260817, 'roost': 8.147507824356254, 'electron': 8.141872677057505, 'fellow': 8.420413947314024, 'elbow': 8.01911919049013, 'well': 7.896729360417233, 'house': 8.061087544304756, 'bug': 7.993783411680237, 'stranger': 8.047245275216534}",True,0.99,v5.0,8.0
w0bf5770,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'eagle': 8.647722241118606, 'lover': 8.69793220693733, 'pillow': 8.306989158229902, 'ozone': 8.249714133030343, 'handkerchief': 8.907517478211949, 'personnel': 9.13718104003324, 'agent': 8.25312944573219, 'refrigerator': 9.202496711414506, 'atom': 8.111422459238442, 'quill': 8.807807020720022, 'ghost': 8.332454076012683, 'horse': 8.398876739462047, 'flower': 8.017536773714534, 'goat': 8.22149740414929, 'jeans': 8.42539892547773, 'hamburger': 9.002123005987917, 'rebel': 8.836721697105837, 'department': 8.68583506075101, 'scenery': 8.506039415014323, 'hero': 8.17930106124444}",True,0.74,v5.0,8.0
wa5455b8,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'handkerchief': 8.765333765197186, 'personnel': 8.306139002420421, 'flower': 8.460200990891352, 'cauliflower': 8.364218885802464, 'department': 8.45618428481792, 'goddess': 8.174882775203852, 'volunteer': 8.414343296008346, 'pitchfork': 8.616714319228288, 'neck': 8.132182927254256, 'stable': 8.266443579177059, 'suburb': 8.420874708887611, 'donor': 8.3306396302285, 'keeper': 8.881226075188557, 'transplant': 8.80027426051368, 'parrot': 8.189823466816797, 'bug': 7.626068109995764, 'tulip': 8.746311489716103, 'grizzly': 8.300540145942746, 'elbow': 8.157800694769476, 'walrus': 8.753280126666315}",True,0.5,v5.0,7.0
wfd64399,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'sand': 8.242649921202496, 'personnel': 8.752844073099189, 'transplant': 8.67139547249164, 'penguin': 8.369606966296603, 'tomato': 8.483172961957829, 'tiger': 8.583576442694293, 'lover': 8.13265711751684, 'cactus': 9.113586126069903, 'bug': 7.869490126978225, 'carrot': 8.071899654931864, 'fellow': 8.159845167763482, 'stable': 8.216891247527423, 'goat': 7.921575141710032, 'major': 8.210186589626268, 'pizza': 8.115295304795092, 'rebel': 8.267993153074054, 'barracuda': 8.477727502266562, 'suburb': 8.297188550781756, 'mister': 7.985304954045156, 'tart': 7.894817667973238}",True,0.91,v5.0,7.0
w1494f60,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'banana': 8.784304318140284, 'finger': 8.387595789525717, 'mister': 8.61361598908866, 'apple': 7.973196421661533, 'personnel': 8.42264593794313, 'donor': 8.437817260005884, 'ear': 8.541839687947826, 'stable': 8.384085411730682, 'volunteer': 8.111725156811621, 'tiger': 8.197616880991566, 'well': 8.267811816499119, 'horse': 8.52792201313304, 'rouge': 8.145950165838867, 'pitchfork': 8.462553631252353, 'parrot': 8.599525735272513, 'handkerchief': 8.534328754685909, 'villain': 8.10897748940864, 'transplant': 8.691375935795207, 'baby': 8.607253874390208, 'critic': 8.30667525962836}",True,0.4,v5.0,9.0
